name,slug,tagline,description,type,website_url,github_url,logo_url,company_name,company_logo_char,license,is_featured,is_primitive,star_count,layer_slug
GPT-4o,gpt-4o,"GPT-4o - OpenAI's flagship model.","OpenAI's most advanced flagship model with native multimodal capabilities.",model,https://openai.com/index/gpt-4o,https://github.com/openai/oai,https://openai.com/favicon.ico,OpenAI,O,proprietary,false,false,0,foundation-models
GPT-4 Turbo,gpt-4-turbo,"GPT-4 Turbo - Fast GPT-4.","OpenAI's fast and capable GPT-4 model for high-volume tasks.",model,https://openai.com/blog/new-gpts-4-turbo-and-11208,https://github.com/openai,https://openai.com/favicon.ico,OpenAI,O,proprietary,false,false,0,foundation-models
Claude 3.5 Sonnet,claude-3-5-sonnet,"Claude 3.5 Sonnet - Anthropic's best model.","Anthropic's best model for coding with improved reasoning.",model,https://www.anthropic.com/claude,https://github.com/anthropic,https://www.anthropic.com/favicon.ico,Anthropic,A,proprietary,false,false,0,foundation-models
Claude Code,claude-code,"Claude Code - AI coding assistant."," Anthropic's CLI tool for autonomous coding and software development.",tool,https://docs.anthropic.com/claude-code,https://github.com/anthropic/claude-code,https://www.anthropic.com/favicon.ico,Anthropic,A,open_source,false,false,0,execution-and-sandbox
Claude 3 Haiku,claude-3-haiku,"Claude 3 Haiku - Fast reasoning.","Anthropic's fast and efficient model for high-volume tasks.",model,https://www.anthropic.com/claude,https://github.com/anthropic,https://www.anthropic.com/favicon.ico,Anthropic,A,proprietary,false,false,0,foundation-models
Gemini 2.5 Pro,gemini-2-5-pro,"Gemini 2.5 Pro - Google's top model.","Google's most capable model with enhanced reasoning.",model,https://gemini.google.com,https://github.com/google-deepmind,https://www.google.com/favicon.ico,Google DeepMind,G,proprietary,false,false,0,foundation-models
Gemini 2.0 Flash,gemini-2-0-flash,"Gemini 2.0 Flash - Fast Google model.","Google's fast model for quick responses.",model,https://gemini.google.com,https://github.com/google-deepmind,https://www.google.com/favicon.ico,Google DeepMind,G,proprietary,false,false,0,foundation-models
Llama 4 Scout,llama-4-scout,"Llama 4 Scout - Open meta model.","Meta's open llama model with long context.",model,https://llama.meta.com,https://github.com/meta-llama,https://llama.meta.com/favicon.ico,Meta,M,open_source,false,false,0,foundation-models
Llama 3.3 70B,llama-3-3-70b,"Llama 3.3 70B - Efficient model.","Meta's efficient open model with excellent performance.",model,https://llama.meta.com,https://github.com/meta-llama,https://llama.meta.com/favicon.ico,Meta,M,open_source,false,false,0,foundation-models
Mistral Large 2,mistral-large-2,"Mistral Large 2 - Powerful open model.","Mistral's powerful open model for coding.",model,https://mistral.ai,https://github.com/mistral-ai,https://mistral.ai/favicon.ico,Mistral AI,M,proprietary,false,false,0,foundation-models
Codestral,codestral,"Codestral - Coding model.","Mistral's model specialized for code generation.",model,https://mistral.ai,https://github.com/mistral-ai,https://mistral.ai/favicon.ico,Mistral AI,M,open_source,false,false,0,foundation-models
Groq LPU,groq-lpu,"Groq LPU - Ultra-fast inference.","Groq's Language Processing Unit for sub-millisecond latency.",tool,https://groq.com,https://github.com/groq,https://groq.com/favicon.ico,Groq,G,proprietary,false,false,0,inference-and-hosting
Together Inference,together-inference,"Together Inference - Fast model hosting.","Fast inference on open models via Together AI.",tool,https://together.ai,https://github.com/togethercomputer,https://together.ai/favicon.ico,Together AI,T,proprietary,false,false,0,inference-and-hosting
Anyscale Endpoints,anyscale-endpoints,"Anyscale - Managed model serving.","Serverless model endpoints at scale.",tool,https://anyscale.com,https://github.com/anyscale,https://anyscale.com/favicon.ico,Anyscale,A,proprietary,false,false,0,inference-and-hosting
Fireworks Inference,fireworks-inference,"Fireworks - GenAI inference.","Fast generative AI inference API.",tool,https://fireworks.ai,https://github.com/fireworks-ai,https://fireworks.ai/favicon.ico,Fireworks,F,proprietary,false,false,0,inference-and-hosting
vLLM,vllm,"vLLM - Fast inference framework.","High-throughput inference for LLMs with PagedAttention.",framework,https://docs.vllm.ai,https://github.com/vllm-project,https://docs.vllm.ai/favicon.ico,vLLM Project,v,open_source,false,true,0,inference-and-hosting
Unsloth,unsloth,"Unsloth - Fast fine-tuning.","2x faster fine-tuning with 70% less memory.",tool,https://unsloth.ai,https://github.com/unsloth-ai,https://unsloth.ai/favicon.ico,Unsloth,U,open_source,false,false,0,training-and-fine-tuning
Axolotl,axolotl,"Axolotl - Fine-tuning tool.","Unified fine-tuning for Llama, Mistral, Qwen.",framework,https://github.com/axolotl-ai,https://github.com/axolotl-ai,https://github.com/favicon.ico,Axolotl,A,open_source,false,true,0,training-and-fine-tuning
PEFT,peft,"PEFT - Parameter-efficient fine-tuning.","Parameter-efficient fine-tuning methods for LLMs.",framework,https://huggingface.co/docs/peft,https://github.com/huggingface/peft,https://huggingface.co/favicon.ico,Hugging Face,H,open_source,false,true,0,training-and-fine-tuning
TRL,trl,"TRL - Transformer Reinforcement Learning.","Full-stack trainer for transformer language models.",framework,https://huggingface.co/docs/trl,https://github.com/huggingface/trl,https://huggingface.co/favicon.ico,Hugging Face,H,open_source,false,true,0,training-and-fine-tuning
LangChain,langchain,"LangChain - LLM app framework.","Build apps with language models.",framework,https://www.langchain.com,https://github.com/langchain-ai,https://www.langchain.com/favicon.ico,LangChain,L,open_source,false,false,0,orchestration
LangGraph,langgraph,"LangGraph - Multi-agent orchestration.","Build coordinated multi-agent applications.",framework,https://www.langchain.com/langgraph,https://github.com/langchain-ai/langgraph,https://www.langchain.com/favicon.ico,LangChain,L,open_source,false,false,0,orchestration
LlamaIndex,llamaindex,"LlamaIndex - Data framework for LLMs.","Build LLM apps with your data.",framework,https://www.llamaindex.com,https://github.com/run-llama,https://www.llamaindex.com/favicon.ico,LlamaIndex,L,open_source,false,false,0,data-and-vector
LangSmith,langsmith,"LangSmith - LLM observability.","Debug, test, and monitor your LLM apps.",tool,https://www.langchain.com/langsmith,https://github.com/langchain-ai/langsmith,https://www.langchain.com/favicon.ico,LangChain,L,proprietary,false,false,0,observability-and-safety
LangGuardrails,langguardrails,"LangGuardrails - AI safety.","Add guardrails to your LLM applications.",tool,https://www.langchain.com/langguardrails,https://github.com/GuardrailsAI,https://www.langchain.com/favicon.ico,Guardrails AI,G,open_source,false,false,0,observability-and-safety
Pinecone Serverless,pinecone-serverless,"Pinecone - Vector database.","Zero-maintenance vector database.",infrastructure,https://www.pinecone.io,https://github.com/pinecone-io,https://www.pinecone.io/favicon.ico,Pinecone,P,proprietary,false,false,0,data-and-vector
Weaviate,weaviate,"Weaviate - Open vector DB.","Open-source vector database.",infrastructure,https://weaviate.io,https://github.com/weaviate-io,https://weaviate.io/favicon.ico,Weaviate,W,open_source,false,false,0,data-and-vector
Qdrant,qdrant,"Qdrant - Vector search.","Fast vector search engine.",infrastructure,https://qdrant.tech,https://github.com/qdrant,https://qdrant.tech/favicon.ico,Qdrant,Q,open_source,false,false,0,data-and-vector
Chroma,chroma,"Chroma - Embedding database.","Open-source embedding database.",infrastructure,https://cookbook.chroma.dev,https://github.com/chroma-core/chroma,https://cookbook.chroma.dev/favicon.ico,Chroma,C,open_source,false,false,0,data-and-vector
E2B Code,e2b-code,"E2B - AI code execution.","Secure code execution for AI agents.",tool,https://e2b.dev,https://github.com/e2b-dev,https://e2b.dev/favicon.ico,E2B,E,proprietary,false,false,0,execution-and-sandbox
Daytona,daytona,"Daytona - Cloud dev environments.","Cloud development environments.",tool,https://daytona.io,https://github.com/daytona-io,https://daytona.io/favicon.ico,Daytona,D,proprietary,false,false,0,execution-and-sandbox
NVIDIA CUDA,nvidia-cuda,"CUDA - GPU computing platform.","NVIDIA's parallel computing platform.",infrastructure,https://www.nvidia.com,https://github.com/NVIDIA,https://www.nvidia.com/favicon.ico,NVIDIA,N,proprietary,false,false,0,compute-and-hardware
NVIDIA DGX Cloud,nvidia-dgx,"DGX Cloud - AI infrastructure.","NVIDIA's AI infrastructure in the cloud.",infrastructure,https://www.nvidia.com,https://github.com/NVIDIA,https://www.nvidia.com/favicon.ico,NVIDIA,N,proprietary,false,false,0,compute-and-hardware
RunPod,runpod,"RunPod - Cloud GPU.","Managed GPU infrastructure for AI.",tool,https://runpod.io,https://github.com/runpod,https://runpod.io/favicon.ico,RunPod,R,proprietary,false,false,0,compute-and-hardware
Modal,modal,"Modal - Serverless GPUs.","Serverless GPUs for AI apps.",tool,https://modal.com,https://github.com/modal-labs,https://modal.com/favicon.ico,Modal,M,proprietary,false,false,0,compute-and-hardware